Main Group,Food Category,Units,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Milk products exc. cheese,Milk and milk products excluding cheese,ml,1904,1901,1847,1849,1827,1807,1818,1786,1840,1746
Cheese,Cheese,g,118,114,118,111,112,115,124,125,123,129
Meat,Carcase meat,g,204,196,182,195,187,192,175,182,168,170
Meat,Non-carcase meat and meat products,g,794,793,766,760,742,745,778,775,794,779
Fish,Fish,g,147,144,146,144,146,144,139,139,146,148
Eggs,Eggs,no.,2,2,2,2,2,2,2,2,2,2
Fats,Fats,g,170,178,171,158,162,162,139,158,161,158
Sugar and preserves,Sugar and preserves,g,126,124,123,109,106,107,107,99,93,87
Potatoes,Fresh and processed potatoes,g,746,724,682,671,675,675,634,669,620,612
Potatoes,Processed potatoes,g,250,246,242,240,246,247,239,248,241,256
Vegetables exc. Potatoes,"Fresh and processed vegetables, excluding potatoes",g,1090,1086,1102,1080,1103,1117,1137,1134,1139,1147
Fruit,Fresh fruit,g,764,744,744,766,773,780,814,784,787,767
Fruit,Processed fruit and fruit products,g,385,362,370,330,319,313,316,312,319,312
Bread,White bread,g,259,266,247,222,221,222,199,202,198,194
Bread,Brown and wholemeal bread,g,175,158,156,150,143,143,150,136,137,133
Flour,Flour,g,71,73,57,52,61,63,55,75,48,54
"Cakes, buns and pastries","Cakes, buns and pastries",g,151,149,150,147,155,154,150,159,151,163
Biscuits,Biscuits and crispbreads,g,164,160,165,162,164,166,169,160,159,173
Other cereals and cereal products,Other cereals and cereal products,g,547,542,549,560,566,565,562,582,589,607
Tea and Coffee,Beverages,g,53,53,52,52,53,53,54,49,52,56
Other food and drink,Other food and drink,g,726,776,778,787,815,829,855,884,1000,934
Soft drinks,Soft drinks,ml,1630,1633,1664,1546,1531,1522,1608,1508,1642,1658
Confectionery,Confectionery,g,134,126,128,130,132,134,130,137,136,144
Alcoholic drinks,Alcoholic drinks,ml,728,700,694,675,678,675,712,728,712,728
